mack,nam,size,llp,nim,roe,car,lta,eta,gdp,inf,la
BAB,2019,"8,033","0,0091","0,0201","0,0926","0,1022","0,6709","0,0724","0,072","0,028","0,1843"
BAB,2020,"8,0689","0,0105","0,0189","0,1174","0,0839","0,4068","0,0714","0,029","0,0322","0,3929"
BAB,2021,"8,0784","0,0127","0,0187","0,0249","0,0924","0,6974","0,0756","0,026","0,0183","0,1025"
BaoVietBank,2011,"7,1214","0,012","0,0289","0,0803","0,22","0,4977","0,1264","0,064","0,1868","0,0661"
BaoVietBank,2012,"7,1233","0,0208","0,0317","0,0479","0,42","0,468","0,2374","0,055","0,0909","0,0363"
BaoVietBank,2013,"7,225","0,0127","0,0338","0,0288","0,373","0,4019","0,1897","0,056","0,0659","0,1159"
BaoVietBank,2014,"7,3832","0,0083","0,0194","0,0325","0,373","0,4163","0,1383","0,064","0,0408","0,1007"
BaoVietBank,2015,"7,4871","0,0089","0,0181","0,031",0,"0,4391","0,1095","0,07","0,0063","0,0387"
BaoVietBank,2016,"7,5352","0,0098","0,0201","0,0256",0,"0,4381","0,0987","0,067","0,0267","0,0945"
BaoVietBank,2017,"7,689","0,0152","0,0226","0,0271",0,"0,4552","0,0716","0,069","0,0352","0,0963"
BaoVietBank,2018,"7,7473","0,0121","0,0129","0,0423",0,"0,4063","0,0622","0,072","0,0354","0,1105"
BaoVietBank,2019,"7,7767","0,0188","0,0134","0,0228",0,"0,3827","0,0595","0,072","0,028","0,1398"
BaoVietBank,2020,"7,7722","0,0084","0,0096","0,0228",0,"0,6796","0,0609","0,029","0,0322","0,1252"
BaoVietBank,2021,"7,816","0,0097","0,0161","0,0041",0,"0,3819","0,0561","0,026","0,0183","0,2353"
BID,2011,"8,6083","0,0203","0,0349","0,1536","0,1107","0,689","0,0606","0,064","0,1868","0,1713"
BID,2012,"8,6855","0,0177","0,0223","0,1247","0,0965","0,7019","0,0551","0,055","0,0909","0,1611"
BID,2013,"8,7391","0,016","0,0293","0,0872","0,1023","0,6751","0,0589","0,056","0,0659","0,1206"
BID,2014,"8,8131","0,0151","0,0306","0,1229","0,0927","0,6946","0,0517","0,064","0,0408","0,1338"
BID,2015,"8,9298","0,0127","0,0278","0,1313","0,0981","0,7091","0,0498","0,07","0,0063","0,1229"
